24/11/2020 20:33:20 Se conecto con ip:127.0.0.1 SE: 77391571
24/11/2020 20:34:58 Se conecto con ip:127.0.0.1 SE: 77391571
24/11/2020 20:44:35 Se conecto con ip:127.0.0.1 SE: 77391571
24/11/2020 20:45:31 Se conecto con ip:127.0.0.1 SE: 77391571
9/12/2020 10:42:28 Se conecto con ip:127.0.0.1 SE: 77391571
15/12/2020 09:31:26 Se conecto con ip:127.0.0.1 SE: 77391571
18/1/2021 11:33:36 Transporto a Snow hacia Mapa91 X:67 Y:34
18/1/2021 11:33:37 Transporto a Snow hacia Mapa91 X:73 Y:34
18/1/2021 11:33:37 Transporto a Snow hacia Mapa91 X:70 Y:28
18/1/2021 11:33:39 Transporto a Snow hacia Mapa92 X:53 Y:67
18/1/2021 11:33:39 Transporto a Snow hacia Mapa92 X:60 Y:73
18/1/2021 11:33:40 Transporto a Snow hacia Mapa92 X:63 Y:78
18/1/2021 11:33:40 Transporto a Snow hacia Mapa92 X:59 Y:82
18/1/2021 11:33:45 Transporto a Snow hacia Mapa37 X:50 Y:50
18/1/2021 11:33:46 Transporto a Snow hacia Mapa37 X:52 Y:56
18/1/2021 11:33:47 Transporto a Snow hacia Mapa37 X:57 Y:61
18/1/2021 11:34:04 Transporto a Snow hacia Mapa182 X:50 Y:50
18/1/2021 11:34:05 Transporto a Snow hacia Mapa182 X:52 Y:47
18/1/2021 11:34:14 Transporto a Snow hacia Mapa182 X:48 Y:41
18/1/2021 11:34:14 Transporto a Snow hacia Mapa182 X:45 Y:35
18/1/2021 11:34:15 Transporto a Snow hacia Mapa182 X:48 Y:30
18/1/2021 11:34:15 Transporto a Snow hacia Mapa182 X:43 Y:26
18/1/2021 11:34:16 Transporto a Snow hacia Mapa182 X:35 Y:25
18/1/2021 11:34:16 Transporto a Snow hacia Mapa182 X:29 Y:28
18/1/2021 11:34:16 Transporto a Snow hacia Mapa182 X:33 Y:34
18/1/2021 11:34:17 Transporto a Snow hacia Mapa182 X:39 Y:39
18/1/2021 11:34:17 Transporto a Snow hacia Mapa182 X:44 Y:44
18/1/2021 11:34:17 Transporto a Snow hacia Mapa182 X:47 Y:49
18/1/2021 11:34:17 Transporto a Snow hacia Mapa182 X:49 Y:54
18/1/2021 11:34:23 Transporto a Snow hacia Mapa180 X:50 Y:50
18/1/2021 11:34:26 Transporto a Snow hacia Mapa180 X:50 Y:55
18/1/2021 11:34:26 Transporto a Snow hacia Mapa180 X:49 Y:61
18/1/2021 11:34:26 Transporto a Snow hacia Mapa180 X:48 Y:67
18/1/2021 11:34:26 Transporto a Snow hacia Mapa180 X:48 Y:72
18/1/2021 11:34:27 Transporto a Snow hacia Mapa180 X:47 Y:78
18/1/2021 11:34:27 Transporto a Snow hacia Mapa180 X:46 Y:84
18/1/2021 11:34:28 Transporto a Snow hacia Mapa180 X:45 Y:89
18/1/2021 11:34:31 Transporto a Snow hacia Mapa178 X:50 Y:50
18/1/2021 11:34:32 Transporto a Snow hacia Mapa178 X:47 Y:54
18/1/2021 11:34:32 Transporto a Snow hacia Mapa178 X:42 Y:59
18/1/2021 11:34:43 Transporto a Snow hacia Mapa178 X:32 Y:62
18/1/2021 11:34:44 Transporto a Snow hacia Mapa178 X:26 Y:67
18/1/2021 11:34:44 Transporto a Snow hacia Mapa178 X:23 Y:71
18/1/2021 11:34:44 Transporto a Snow hacia Mapa178 X:27 Y:76
18/1/2021 11:34:45 Transporto a Snow hacia Mapa178 X:31 Y:82
18/1/2021 11:34:53 Transporto a Snow hacia Mapa110 X:50 Y:50
18/1/2021 11:34:54 Transporto a Snow hacia Mapa110 X:47 Y:53
18/1/2021 11:34:56 Transporto a Snow hacia Mapa165 X:77 Y:21
18/1/2021 11:34:56 Transporto a Snow hacia Mapa165 X:68 Y:22
18/1/2021 11:34:57 Transporto a Snow hacia Mapa165 X:61 Y:23
